Data,Descrição,Resultado,Capital Total
2024-01-31,"Fechamento Mensal - Janeiro 2024",4.53,70000
2024-02-29,"Fechamento Mensal - Fevereiro 2024",10.11,73170
2024-03-31,"Fechamento Mensal - Março 2024",5.29,80570
2024-04-30,"Fechamento Mensal - Abril 2024",14.90,84830
2024-05-31,"Fechamento Mensal - Maio 2024",-18.95,97470
2024-06-30,"Fechamento Mensal - Junho 2024",6.08,78995
2024-07-31,"Fechamento Mensal - Julho 2024",4.89,83795
2024-08-31,"Fechamento Mensal - Agosto 2024",5.80,87895
2024-09-30,"Fechamento Mensal - Setembro 2024",2.72,92995
2024-10-31,"Fechamento Mensal - Outubro 2024",2.83,95520
2024-11-30,"Fechamento Mensal - Novembro 2024",3.46,98220
2024-12-31,"Fechamento Mensal - Dezembro 2024",1.82,101620
